"id","mem","mem_free","processors","instance_uptime","uptime","systemload_average","heap_committed","heap_init","heap_used","heap","nonheap_committed","nonheap_init","nonheap_used","nonheap","threads_peak","threads_total_started","threads","classes","classes_loaded","classes_unloaded","gc_ps_scavenge_count","gc_ps_scavenge_time","gc_ps_marksweep_count","gc_ps_marksweep_time","httpsessions_max","httpsessions_active","gauge_response_test","counter_status200test","counter_status500test","updated_time"
28,"454913","53359","4","1408873","1417400",-1.0,"397824","65536","344464","913920","60264","2496","57089","0","31","36","31","6267","6267","0","554","2486","2","401",-1,"0","19.0","651031",,2019-03-27 01:51:42
29,"454430","132503","4","1438969","1447497",-1.0,"397312","65536","264808","913920","60264","2496","57118","0","32","37","32","6267","6267","0","560","2520","2","401",-1,"0","4.0","674361",,2019-03-27 01:52:12
30,"454432","337210","4","1469050","1477578",-1.0,"397312","65536","60101","913920","60264","2496","57120","0","32","37","32","6267","6267","0","567","2554","2","401",-1,"0","31.0","700275",,2019-03-27 01:52:42
31,"454437","211781","4","1499135","1507663",-1.0,"397312","65536","185530","913920","60264","2496","57125","0","32","37","32","6267","6267","0","573","2583","2","401",-1,"0","19.0","726104",,2019-03-27 01:53:12
32,"454940","76247","4","1529252","1537780",-1.0,"397824","65536","321576","913920","60264","2496","57116","0","32","37","32","6267","6267","0","579","2610","2","401",-1,"0","26.0","752072",,2019-03-27 01:53:42
33,"454956","115802","4","1559321","1567850",-1.0,"397824","65536","282021","913920","60264","2496","57132","0","32","37","32","6267","6267","0","585","2656","2","401",-1,"0","32.0","775995",,2019-03-27 01:54:12
34,"454956","220196","4","1589466","1597994",-1.0,"397824","65536","177627","913920","60264","2496","57132","0","32","37","32","6267","6267","0","591","2696","2","401",-1,"0","30.0","799097",,2019-03-27 01:54:42
35,"454956","71948","4","1619679","1628208",-1.0,"397824","65536","325875","913920","60264","2496","57132","0","32","37","32","6267","6267","0","596","2723","2","401",-1,"0","26.0","821215",,2019-03-27 01:55:13
36,"454958","361734","4","1649842","1658370",-1.0,"397824","65536","36089","913920","60264","2496","57134","0","34","39","34","6267","6267","0","600","2751","2","401",-1,"0","28.0","833965",,2019-03-27 01:55:43
37,"454959","104065","4","1680425","1688954",-1.0,"397824","65536","293758","913920","60264","2496","57135","0","34","39","34","6267","6267","0","600","2751","2","401",-1,"0","68.0","837074",,2019-03-27 01:56:13
38,"454959","301370","4","1712306","1720834",-1.0,"397824","65536","96453","913920","60264","2496","57135","0","34","39","34","6267","6267","0","605","3006","2","401",-1,"0","18.0","855007",,2019-03-27 01:56:45
39,"454959","326512","4","1742709","1751236",-1.0,"397824","65536","71311","913920","60264","2496","57135","0","34","39","34","6267","6267","0","610","3104","2","401",-1,"0","35.0","875022",,2019-03-27 01:57:16
40,"454960","357646","4","1773615","1782143",-1.0,"397824","65536","40177","913920","60264","2496","57136","0","34","39","34","6267","6267","0","616","3191","2","401",-1,"0","32.0","899022",,2019-03-27 01:57:47
41,"454962","145362","4","1804020","1812549",-1.0,"397824","65536","252461","913920","60264","2496","57138","0","34","39","34","6267","6267","0","621","3223","2","401",-1,"0","42.0","921920",,2019-03-27 01:58:17
42,"454962","365389","4","1834560","1843088",-1.0,"397824","65536","32434","913920","60264","2496","57138","0","34","39","34","6267","6267","0","627","3537","2","401",-1,"0","28.0","943628",,2019-03-27 01:58:48
43,"454962","365042","4","1865654","1874182",-1.0,"397824","65536","32781","913920","60264","2496","57138","0","34","39","34","6267","6267","0","632","3659","2","401",-1,"0","21.0","963985",,2019-03-27 01:59:19
44,"454962","198477","4","1896056","1904584",-1.0,"397824","65536","199346","913920","60264","2496","57138","0","34","39","34","6267","6267","0","637","3686","2","401",-1,"0","9.0","986321",,2019-03-27 01:59:49
45,"454964","131039","4","1926219","1934747",-1.0,"397824","65536","266784","913920","60264","2496","57140","0","34","39","34","6267","6267","0","643","3723","2","401",-1,"0","24.0","1011521",,2019-03-27 02:00:19
46,"454965","114063","4","1956425","1964953",-1.0,"397824","65536","283760","913920","60264","2496","57141","0","34","39","34","6267","6267","0","649","3803","2","401",-1,"0","12.0","1036107",,2019-03-27 02:00:49
47,"454965","139772","4","1986576","1995105",-1.0,"397824","65536","258051","913920","60264","2496","57141","0","34","39","34","6267","6267","0","655","3842","2","401",-1,"0","30.0","1060176",,2019-03-27 02:01:20
48,"454965","347969","4","2016669","2025197",-1.0,"397824","65536","49854","913920","60264","2496","57141","0","34","39","34","6267","6267","0","662","3944","2","401",-1,"0","27.0","1086081",,2019-03-27 02:01:50
49,"455495","243680","4","2046781","2055310",-1.0,"398336","65536","154656","913920","60264","2496","57159","0","34","39","34","6267","6267","0","668","3985","2","401",-1,"0","29.0","1111782",,2019-03-27 02:02:20
50,"455495","309055","4","2076873","2085400",-1.0,"398336","65536","89280","913920","60264","2496","57159","0","34","39","34","6267","6267","0","674","4023","2","401",-1,"0","30.0","1135451",,2019-03-27 02:02:50
51,"454471","261378","4","2107006","2115534",-1.0,"397312","65536","135933","913920","60264","2496","57159","0","34","39","34","6267","6267","0","680","4074","2","401",-1,"0","21.0","1160456",,2019-03-27 02:03:20
52,"454983","120740","4","2137129","2145657",-1.0,"397824","65536","277083","913920","60264","2496","57159","0","34","39","34","6267","6267","0","686","4102","2","401",-1,"0","9.0","1186560",,2019-03-27 02:03:50
53,"454983","73498","4","2167384","2175912",-1.0,"397824","65536","324325","913920","60264","2496","57159","0","34","39","34","6267","6267","0","692","4177","2","401",-1,"0","30.0","1211492",,2019-03-27 02:04:20
54,"455496","172287","4","2197585","2206113",-1.0,"398336","65536","226048","913920","60264","2496","57160","0","34","39","34","6267","6267","0","698","4213","2","401",-1,"0","30.0","1234746",,2019-03-27 02:04:51
55,"455496","75771","4","2227692","2236220",-1.0,"398336","65536","322564","913920","60264","2496","57160","0","34","39","34","6267","6267","0","704","4242","2","401",-1,"0","20.0","1260339",,2019-03-27 02:05:21
56,"455496","301147","4","2257865","2266394",-1.0,"398336","65536","97188","913920","60264","2496","57160","0","34","39","34","6267","6267","0","711","4288","2","401",-1,"0","24.0","1286175",,2019-03-27 02:05:51
57,"455496","191870","4","2287988","2296516",-1.0,"398336","65536","206465","913920","60264","2496","57160","0","34","39","34","6267","6267","0","717","4323","2","401",-1,"0","25.0","1311927",,2019-03-27 02:06:21
58,"454984","64636","4","2318090","2326619",-1.0,"397824","65536","333187","913920","60264","2496","57160","0","34","39","34","6267","6267","0","723","4361","2","401",-1,"0","20.0","1337854",,2019-03-27 02:06:51
59,"455496","283840","4","2348247","2356775",-1.0,"398336","65536","114495","913920","60264","2496","57160","0","34","39","34","6267","6267","0","730","4396","2","401",-1,"0","6.0","1363684",,2019-03-27 02:07:21
60,"454469","168250","4","2378424","2386952",-1.0,"397312","65536","229061","913920","60264","2496","57157","0","34","39","34","6267","6267","0","736","4426","2","401",-1,"0","20.0","1389514",,2019-03-27 02:07:51
61,"454981","60542","4","2408651","2417179",-1.0,"397824","65536","337281","913920","60264","2496","57157","0","34","39","34","6267","6267","0","742","4455","2","401",-1,"0","23.0","1415207",,2019-03-27 02:08:22
62,"454981","278883","4","2438863","2447391",-1.0,"397824","65536","118940","913920","60264","2496","57157","0","34","39","34","6267","6267","0","749","4495","2","401",-1,"0","24.0","1440990",,2019-03-27 02:08:52
63,"454981","178654","4","2468960","2477488",-1.0,"397824","65536","219169","913920","60264","2496","57157","0","34","39","34","6267","6267","0","755","4524","2","401",-1,"0","39.0","1466594",,2019-03-27 02:09:22
64,"454981","119355","4","2499108","2507636",-1.0,"397824","65536","278468","913920","60264","2496","57157","0","34","39","34","6267","6267","0","761","4615","2","401",-1,"0","21.0","1491711",,2019-03-27 02:09:52
65,"454981","363383","4","2529259","2537787",-1.0,"397824","65536","34440","913920","60264","2496","57157","0","34","39","34","6267","6267","0","768","4656","2","401",-1,"0","24.0","1517199",,2019-03-27 02:10:22
66,"454467","258145","4","2559407","2567935",-1.0,"397312","65536","139166","913920","60264","2496","57155","0","34","39","34","6267","6267","0","774","4689","2","401",-1,"0","24.0","1542807",,2019-03-27 02:10:52
67,"454971","169244","4","2589526","2598054",-1.0,"397824","65536","228579","913920","60264","2496","57147","0","34","39","34","6267","6267","0","780","4718","2","401",-1,"0","18.0","1568276",,2019-03-27 02:11:22
68,"454971","369792","4","2619655","2628183",-1.0,"397824","65536","28031","913920","60264","2496","57147","0","34","39","34","6267","6267","0","787","4758","2","401",-1,"0","18.0","1594297",,2019-03-27 02:11:53
69,"454971","242966","4","2649906","2658434",-1.0,"397824","65536","154857","913920","60264","2496","57147","0","34","39","34","6267","6267","0","793","4797","2","401",-1,"0","25.0","1620198",,2019-03-27 02:12:23
